class_id,label,action,category
Q35120,entity,split,
Q488383,object,split,
Q136433660,entity,split,
Q103940464,continuant,split,
Q53617489,independent continuant,split,
Q4406616,concrete object,split,
Q132907471,individual item,split,
Q4406616,concrete object,split,
Q53617407,material entity,split,
Q223557,physical object,split,
Q24229398,being,split,
Q106559804,person or organization,split,
Q3778211,legal person,split,
Q27043950,anatomical entity,split,
Q66394244,physical anatomical entity,split,
Q7239,organism,split,
Q795052,individual,split,
Q159344,heterotroph,split,
Q729,Animalia,split,
Q215627,person,split,
Q5173,Bilateria,split,
Q3059449,Nephrozoa,split,
Q150866,deuterostome,split,
Q10915,Chordata,split,
Q25241,Vertebrata,split,
Q7377,mammal,split,
Q72638,consumer,split,
Q7380,primate,split,
Q635162,Hominidae,split,
Q171283,Homo,split,
Q15978631,Homo sapiens,split,
Q164509,omnivore,split,
Q5,human,assign,human
Q30241068,observable entity,split,
Q483247,phenomenon,split,
Q3505845,state,split,
Q813912,condition,split,
Q18603648,contributing factor,split,
Q12774177,means,split,
Q340169,communications media,split,
Q1799072,method,split,
Q2695280,technique,split,
Q372222,human-readable medium,split,
Q451553,visualization,split,
Q34508,video recording,split,
Q10296912,imaging method,split,
Q34508,video recording,split,
Q110879246,video work,split,
Q110879282,video and/or audio work,assign,video and/or audio work
Q7048977,abstract entity,split,
Q937228,property,split,
Q5127848,class,split,
Q16889133,class,split,
Q99527517,collective entity,split,
Q98119401,group or class of physical objects,split,
Q21871294,group or class of living things,split,
Q17379835,Wikimedia page outside the main knowledge tree,assign,Wikimedia page outside the main knowledge tree
Q58778,system,split,
Q1639378,social system,split,
Q43229,organization,split,
Q854457,complex system,split,
Q43229,organization,split,
Q246672,mathematical object,split,
Q602884,social phenomenon,split,
Q853725,social relation,split,
Q1139327,rivalry,split,
Q476300,competition,split,
Q748349,mathematical structure,split,
Q217594,class,split,
Q205464,algebraic structure,split,
Q134488202,possibly infinitary structure,split,
Q1851710,structure,split,
Q205464,algebraic structure,split,
Q36161,set,split,
Q864377,multiset,split,
Q36161,set,split,
Q841654,competition,split,
Q23807345,competition,split,
Q13406554,sports competition,assign,Events
Q137023128,region,assign,region
Q123349660,geolocatable entity,assign,geolocatable entity
C35120,entity (Class Pages),split,
Q11028,information,split,
C488383,object (Class Pages),split,
Q13196193,part,split,
C136433660,entity (Class Pages),split,
C7048977,abstract entity (Class Pages),split,
Q16686448,artificial object,split,
Q386724,work,split,
C16686448,artificial object (Class Pages),split,
Q930933,relation,split,
C103940464,continuant (Class Pages),split,
Q1756942,partial function,split,
Q11348,function,split,
Q803935,Baire function,split,
Q91305654,discontinuous function,split,
Q8963063,discrete function,split,
Q133250,sequence,split,
Q52948,interaction,split,
Q32178211,music organization,assign,music organization
Q1184244,delict,split,
Q1456832,violation of law,assign,Events
Q1293220,physical phenomenon,split,
Q17320256,physical process,split,
Q64732777,biological phenomenon,split,
Q2996394,biological process,split,
Q1979154,model,split,
Q12775893,scheme,split,
Q5962346,classification scheme,split,
Q24249534,specialised classification scheme,split,
Q1744559,classification in sports,assign,classification in sports
Q16521,taxon,assign,taxon
Q28813620,set,split,
Q16887380,group,split,
Q838948,work of art,assign,work of art
Q3505845,state,split,
Q813912,condition,split,
C31464082,source entity (Class Pages),split,
Q48907157,section of populated place,assign,section of populated place
Q22269697,multi-organism process,split,
Q22294683,biological process involved in intraspecies interaction between organisms,split,
Q921513,social behavior,split,
Q853725,social relation,split,
Q1139327,rivalry,assign,Events
Q14897293,fictional entity,assign,fictional entity
C3523102,source of information (Class Pages),split,
C37866906,information resource (Class Pages),split,
C49848,document (Class Pages),split,
C732577,publication (Class Pages),split,
C3331189,"version, edition or translation (Class Pages)",split,
C286583,manifestation (Class Pages),split,
C494756,data (Class Pages),split,
Q1554231,resource,split,
C178995,HTTP cookie (Class Pages),split,
P178995,Cookie_(informatique),assign,Cookie_(informatique)
Q37866906,information resource,split,
Q49848,document,split,
Q732577,publication,split,
Q21146257,type,split,
Q18603648,contributing factor,split,
Q5067949,chain of events,assign,Events
Q2912517,value,split,
Q67518978,occurrent,split,
Q309314,quantity,split,
Q12774177,means,split,
Q1207505,quality,split,
Q21170479,possibility,split,
Q104493,risk,split,
Q4830453,business,split,
Q125506646,transfer,split,
Q7397,software,assign,software
Q4184950,regularity,split,
Q2083958,pattern,split,
Q71550118,individual quantity,split,
Q107715,physical quantity,split,
Q609298,social interaction,split,
Q3482410,group behaviour,split,
Q388791,group decision-making,split,
Q189760,voting,assign,Events
Q10301427,moving image,split,
Q11424,film,assign,film
Q839578,group dynamics,split,
Q180684,conflict,split,
Q108346082,release group,assign,release group
Q9332,behavior,split,
Q4025884,concrete number,split,
Q7210356,political organization,assign,political organization
Q179899,topological space,split,
Q1491995,connected space,split,
Q11235244,domain,split,
Q186081,time interval,split,
Q4438121,sports organization,assign,sports organization
Q378078,substance,assign,substance
C30241068,observable entity (Class Pages),split,
Q151885,concept,split,
Q131164,Web 2.0,split,
Q210980,virtual community,assign,virtual community
C483247,phenomenon (Class Pages),split,
Q4833865,abstract structure,split,
Q748349,mathematical structure,split,
Q205464,algebraic structure,split,
Q36161,set,split,
Q217594,class,split,
Q36161,set,split,
Q134488202,possibly infinitary structure,split,
Q1851710,structure,split,
Q205464,algebraic structure,split,
Q36161,set,split,
Q106635272,competition stage,assign,Events
Q96251598,type of object,split,
Q111360549,type of physical object,split,
Q22811462,type of manufactured good,split,
Q10929058,product model,assign,product model
Q58415929,spatio-temporal entity,split,
Q1190554,occurrence,split,
Q6671777,structure,split,
Q11514315,historical period,assign,Events
Q8187769,economic activity,split,
Q7406919,service,split,
Q2217301,serial,assign,serial
Q134602526,group or class of beings,split,
Q134601875,group or class of people,split,
Q134261520,group or class of humans,split,
Q16334295,group of humans,assign,group of humans
Q783794,company,assign,company
Q5358816,element,split,
Q379825,element,split,
Q44946,point,split,
Q186408,point in time,split,
Q5422048,external risk,split,
Q17489659,group of works,split,
Q14795564,point in time with respect to recurrent timeframe,assign,Events
Q221173,outline of academic disciplines,split,
Q336,science,split,
Q1656682,event,assign,Events
Q1799072,method,split,
Q3249551,process,split,
Q1914636,activity,split,
Q29431432,dyad,split,
Q104086571,first-order class,split,
Q112193867,class of disease,assign,class of disease
Q22999537,vehicle family,assign,vehicle family
Q179899,topological space,split,
Q17091170,group conflict,split,
Q2990593,animal behavior,split,
Q921513,social behavior,split,
Q123410745,geometric object,split,
Q1193403,regular space,split,
Q1191433,completely regular space,split,
Q1801244,zero-dimensional space,split,
Q44946,point,split,
Q186408,point in time,split,
Q3331189,"version, edition or translation",split,
Q42848,data,split,
Q79782,motion,split,
Q198,war,assign,Events
Q3622126,conceptual system,split,
Q2700595,dyad,split,
Q3695082,sign,split,
Q1272626,representation,split,
Q2145290,mental representation,split,
Q14795564,point in time with respect to recurrent timeframe,split,
Q1445650,holiday,assign,Events
Q55983715,organisms known by a particular common name,assign,organisms known by a particular common name
Q211606,social structure,split,
Q8205328,artificial physical object,split,
Q178706,institution,split,
